0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Fiorentina,Torino,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Fiorentina,Verona,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Fiorentina,Sassuolo,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Fiorentina,Venezia,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Fiorentina,Sampdoria,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Fiorentina,Genoa,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Fiorentina,Cagliari,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Fiorentina,Salernitana,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
Udinese,Napoli,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Udinese,Milan,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Udinese,Inter,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Udinese,Roma,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Udinese,Juventus,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Udinese,Bologna,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Udinese,Fiorentina,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Udinese,Empoli,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
